"ncap","npag","nlinea","tocr","NULL","NULL","NULL"
"",1,446,2,"122"
"",1,446,4,"COLABORACION CON SAN MARTIN"
"",1,446,5,"Y SU EXPEDICION A LIMA"
"",1,446,7,"[BORRADOR DE OFICIO DE BUSTOS A LOS"
"",1,446,8,"GOBERNADORES DE TUCUMAN Y SALTA\,"
"",1,446,9,"ARAOZ Y GUEMES]"
"",1,446,11,"Por la adjunta nota que en copia acompaño se instruirá V. S."
"",1,446,12,"del importante objeto a que se dirige. Verdaderamente que nada"
"",1,446,13,"nos importa más como acabar cuanto antes con las fuerzas ene-"
"",1,446,14,"migas que oprimen a los pueblos hermanos del Perú. Esta consi-"
"",1,446,15,"deración ha sido siempre tan poderosa para este ejército que ella"
"",1,446,16,"fue una de las principales que le obligó a sacudir el yugo de un"
"",1,446,17,"gobierno. que olvidado enteramente de la causa común\, lo dis-"
"",1,446,18,"trajera de tan importante objeto\, para emplear sus fuerzas en"
"",1,446,19,"miras particulares y ambiciosas. Consiguiente a ella es que nada"
"",1,446,20,"tampoco lo ha ocupado tanto desde aquel momento\, como allanar"
"",1,446,21,"las dificultades que presenta la escasez de fondos por parte de"
"",1,446,22,"las provincias libres a efecto de hacer efectivas nuestras miras"
"",1,446,23,"y deseos\, la invitación que a este mismo objeto nos hace el exce-"
"",1,446,24,"lentisimo señor general del Ejército de los Andes\, ha electrizado"
"",1,446,25,"nuevamente nuestro patriotismo\, y nos obliga a buscar en V.S\,"
"",1,446,26,"y la. provincia de su mando los medios y recursos con que pueda"
"",1,446,27,"contar este ejército para combinar con Qquél nuestra marcha"
"",1,446,28,"contra el enemigo común [testado ""al Perú]. V.S.\,. pues\, im-"
"",1,446,29,"puesto de la necesidad de tan importante cooperación de que"
"",1,446,30,"casi en el todo pende la salvación de la patria\, me comunicará"
"",1,446,31,"por medio de un propio o extraordinario\, las fuerzas\, el nume-"
"",1,446,32,"rario y demás recursos\, con que por parte de esa provincia pueda"
"",1,446,33,"contar este ejército\, para con arreglo a ellos dar al enviado una"
"",1,446,34,"respuesta categórica y ajustar los términos de nuestra coopera-"
"",1,446,35,"ción. Yo reclamo al efecto los últimos esfuerzos de esa provincia"
"",1,446,36,"a nombre de la patria y espero y juro con todo el ejército de mi"
"",1,446,37,"mando no hacerlos inútiles y sacrificar junto con ellos nuestra"
"",1,446,38,"existencia."
