"ncap","npag","nlinea","tocr","NULL","NULL","NULL"
"",1,501,2,"GUEMES Y RONDEAU EN 1814"
"",1,501,3,"[OFICIO DE JOSE RONDEAU AL DIRECTOR]"
"",1,501,4,"N* 1"
"",1,501,5,"Guerra. Agosto 9/814."
"",1,501,6,"Acúsese recibo: y que se espera de su celo\, amor\, eficacia y conocimientos militares el honor de las armas de la patria en cualquier caso."
"",1,501,7,"[Rúbrica de Posadas] Viana."
"",1,501,8,"Excelentísimo señor"
"",1,501,9,"Desde el 19 del corriente me hallo a la cabeza de este ejército\, cuyo mando en jefe se dignó vuestra excelencia poner a mi cargo. Tengo la satisfacción de haberlo encontrado en un pie de subordinación y disciplina muy regular\, que procuraré adelantar hasta  donde alcancen mis esfuerzos. Su fuerza\, armamento y existencias\, las verá vuestra excelencia por los estados generales que he mandado formar y remitiré prontamente. Yo no dudo\, que reforzado con los auxilios de tropas\, vestuarios y dinero\, que la supremacía de vuestra excelencia tendrá la bondad de enviarme\, se pondrá en estado de emprender coa buen suceso la ofensiva\, y dar nuevas glorias a la patria."
"",1,501,10,"Luego que me encargué del mando\, creí conveniente hablar a la tropa por medio de una proclama\, de que tengo el honor de dirigir a vuestra excelencia el adjunto ejemplar."
"",1,501,11,"Dios guarde a vuestra excelencia muchos años. Tucumán\,"
"",1,501,12,"23 de julio de 1814."
"",1,501,13,"Excelentísimo señor"
"",1,501,14,"José Rondeau"
"",1,501,15,"Excelentísimo Supremo Director de Estado."
"",1,501,16,"[A.G.N.\, X-3-10-8\, Ejército Auxiliar del Perú\, 1814. Fotocopia en N A.]"
"",1,501,17,"[OFICIO DE RONDEAU AL DIRECTOR]"
"",1,501,18,"Excelentísimo señor."
"",1,501,19,"N* 2"
"",1,501,20,"Guerra. Agosto 9/"
"",1,501,21,"Contéstese\, previniéndole dé las gracias a los jefes y tropa que se indican e imprímase."
"",1,501,22,"[Rúbrica de Posadas] Viana. Fecho."
"",1,501,23,"En oficio del 15 del corriente transcribe el comandante general de avanza das\, teniente coronel don Martín Miguel Güemes los partes que con fechas 11 y 12 del mismo le comunicó desde las inmediaciones de la ciudad de Salta el comandante de gauchos don Pedro José  Zavala. Y considerándolos dignos del conocimiento de vuestra excelencia los remito en copia certificada para su Satisfacción y debida inteligencia."
"",1,501,24,"Dios guarde a vuestra excelencia muchos años. Tucumán\, 23 de julio de 1814."
"",1,501,25,"Excelentísimo señor."
"",1,501,26,"José Rondeau"
"",1,501,27,"Excelentísimo Supremo Director del Estado."
"",1,501,28,"[OFICIO DE GUEMES AL GENERAL EN JEFE DEL EJERCITO DEL PERU]"
"",1,501,29,"El comandante don Pedro José Zavala desde las goteras de la ciudad de Salta con fecha 11 y 12 del corriente me dice lo siguiente: ' Habiendo amanecido en este punto de la Quinta"
"",1,501,30,"de Medeyros\, mandé tocar diana junto con el día\, e hice avanzar una partida de gente de armas por la de Zorrilla; de la cual se introdujeron ocho hombres haciendo fuego hasta la Merced\, cuartel de los vallistas\, donde tomaron un cabo y tres soldados prisioneros. Quisieron avanzar el cuartel\, pero los enemigos huyeron cobardemente y cerraron la puerta de él\, por lo que no se atrevieron a llegarse. Pasé dicha partida por las calles del pueblo\, y en ellas tomaron tres prisioneros más de los que habían estado fuera del cuartel\, los que condujeron donde yo estaba. Tomando declaración al cabo y uno de los soldados\, me dijeron\, que entre la ciudad y castañares\, no había más que 800 hombres y la mayor parte de ellos reclutas\, que están ya con orden de que se apronten para retirarse\, por cuyo motivo han dejado a las patriotas\, y dicen que las van a saquear para retirarse. Yo quedo en este punto dando fuego al presente en las orillas del pueblo\, y espero nos auxilie\, que es ocasión de favorecernos con lo que vuestra merced halle por conveniente\, y"
"",1,501,31,"en particular con municiones\, que ahora mismo se me acaban\, porque estoy haciendo un fuego activo. Dios\, etcétera. - Ayer di parte a vuestra mercrd de que me hallaba en actual fuego con cuatro guerrillas a las goteras del pueblo : éste duró dos horas consecutivas\, hasta que retrocedió el enemigo para dentro\, y reuniéndose\, volvió a salir en número de 400 hombres entre infantería y caballería; ésta dividida a los costados de la primera."
"",1,501,32,"Yo hice mi retirada\, dando fuego hasta la acequia de Hoyos\, de donde retrocedieron los enemigos segunda vez\, guardando su formación\, y nosotros cargamos sobre ellos con fuego por la retaguardia hasta el Río de Arias\, donde se nos acabó enteramente la munición. Murieron tres de los enemigos\, se tomaron dos fusiles y una espada; yo me retiro a la Angostura a esperar el auxilio de municiones para volver al pueblo\, donde esperaré a vuestra merced para que con su dirección sea más feliz en tan importante empresa. Lo que transcribo a vuestra señoría para su satisfacción e inteligencia."""
"",1,501,33,"Dios guarde a vuestra señoría muchos años. Campamento general de avanzadas en Concha y julio 15 de 1814\,Martín. Güemes"
